Id,Name,Abbreviation,Api name,Api location code,Email,Enabled,Created at,Updated at,Deliveries per day,Monday thursday in stock lead time a,Monday thursday in stock lead time b,Friday in stock lead time a,Friday in stock lead time b,Weekend in stock lead time a,Weekend in stock lead time b,Out of stock lead time,Cutoff time,A order time,B order time,Part cost rate multiplier,Wd enabled,Static reserved quantity,Minimum pricefactor,Dealer handling time,Exclude from parts manager,Delivery method,Has partial updates,Contact email,Charge description,Dealership name,Address,Phone number,Point of contact,Notes
1304,"Ford Staten Island, NY",FOSINY,Ford Staten Island NY,FO-STATEN ISLAND NY,dropship@dealersalessolutions.com,true,2026-06-01 16:58:31 -0400,2026-06-01 16:58:31 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,"fdeo@drivedana.com, ctosado@drivedana.com",,Dana Motors Ltd,"266 West Service Road, Staten Island, NY 10314",(718) 698-0001,"Frank Deo, Cory Tosado",20260601 Created by Locator user anthony@dealersalessolutions.com
1303,"Ford Southgate, MI",FOSMI,Ford Southgate MI,FO-SOUTHGATE MI,dropship@dealersalessolutions.com,true,2026-06-01 16:56:06 -0400,2026-06-01 16:56:06 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,dwood@southgateford.com,,Southgate Ford,"16501 Fort Street, Southgate, MI 48195",(734) 324-9845,Dean Wood,20260601 Created by Locator user anthony@dealersalessolutions.com
1302,"Ford Kernersville, NC",FOKNC,Ford Kernersville NC,FO-KERNERSVILLE NC,dropship@dealersalessolutions.com,true,2026-05-29 12:05:55 -0400,2026-05-29 12:05:55 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,dan.pillen@crossroadscars.com,,Crossroads Ford Of Kernersville,"1330 Highway 66 South, Kernersville, NC 27284",(336) 996-5181,Dan Pillen,20260529 Created by Locator user anthony@dealersalessolutions.com
1301,"Ford Lake Havasu City, AZ",FOLHCAZ,Ford Lake Havasu City AZ,FO-LAKE HAVASU CITY AZ,dropship@dealersalessolutions.com,true,2026-05-29 12:04:00 -0400,2026-05-29 12:04:00 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,dcrites@bradleyautogroup.com,,Bradley Ford ,"1690 Industrial Blvd, Lake Havasu City, AZ 86403",(928) 855-1191,Dale Crites,20260529 Created by Locator user anthony@dealersalessolutions.com
1300,"Ford Luverne, MN",FOLMN,Ford Luverne MN,FO-LUVERNE MN,dropship@dealersalessolutions.com,true,2026-05-28 10:50:11 -0400,2026-05-28 10:57:11 -0400,1,,,,,,,,,06,"",0.5,false,,0.5,,false,drop_ship,false,parts@hermanmotor.com,"",Herman Motor Company,"624 South Kniss Ave, Luverne, MN 561561902",(507) 283-4427,Noah Herman,20260528 Created by Locator user anthony@dealersalessolutions.com
1299,"Ford Winchester, TN",FOWTN,Ford Winchester TN,FO-WINCHESTER TN,dropship@dealersalessolutions.com,true,2026-05-28 10:47:56 -0400,2026-05-28 10:47:56 -0400,1,,,,,,,,,06,,1.1,false,,1.1,,false,drop_ship,false,rozell.andy@russellbarnett.com,,Russell Barnett Ford,"4055 Tullahoma Hwy, Winchester, TN 37398",(931) 967-2277,Andy Rozell,20260528 Created by Locator user anthony@dealersalessolutions.com
1298,"Ford Fulton, MS",FOFMS,Ford Fulton MS,FO-FULTON MS,dropship@dealersalessolutions.com,true,2026-05-28 10:46:12 -0400,2026-05-28 10:46:12 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,aaronkelso13@gmail.com,,"Davis Ford Sales, Inc.","904 West Main, Fulton, MS 38843",(662) 862-4941,Aaron Kelso,20260528 Created by Locator user anthony@dealersalessolutions.com
1297,"GM Houma, LA",GMHLA,GM Houma LA,GM-HOUMA LA,dropship@dealersalessolutions.com,true,2026-05-28 10:44:14 -0400,2026-05-28 10:44:14 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,dcallahan@barkergmc.net,,Barker Buick Gmc,"6444 W MAIN ST, HOUMA, LA 70360-4968",(985) 868-4400,Dirk Callahan,20260528 Created by Locator user anthony@dealersalessolutions.com
1296,"Ford Ottawa, KS",FOOKS,Ford Ottawa KS,FO-OTTAWA KS,dropship@dealersalessolutions.com,true,2026-05-28 10:41:46 -0400,2026-05-28 10:41:46 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,paigeb@boballenford.com,,Bob Allen Ford-Ottawa,"2320 S Oak St, OTTAWA, KS 66067",(785) 242-5100 x216,Paige Bybee,20260528 Created by Locator user anthony@dealersalessolutions.com
1295,"Ford Wilmington, DE",FOWDE,Ford Wilmington DE,FO-WILMINGTON DE,dropship@dealersalessolutions.com,true,2026-05-28 10:39:36 -0400,2026-05-28 10:39:36 -0400,1,,,,,,,,,06,,0.5,false,,0.5,,false,drop_ship,false,dmorales@sheridanautogroup.com,,"Sheridan Ford Sales, Inc.","4001 Kirkwood Highway, Wilmington, DE 19808",(302) 999-0261,David Morales,20260528 Created by Locator user anthony@dealersalessolutions.com
